,Company,Company LinkedIn,Company Location (State),Employee Size,Industry,Phone,Revenue,Website
1132,CO-AX TECHNOLOGY,,,201-500,"Appliances, Electrical, and Electronics Manufacturing",,59.3M,http://www.coaxinc.com
1135,CODONICS,,,51-200,Medical Equipment Manufacturing,,32M,http://www.codonics.com
1137,COE DISTRIBUTING,,,201-500,Furniture and Home Furnishings Manufacturing,,70.7M,http://www.coedistributing.com
1142,COLD JET,,,201-500,Machinery Manufacturing,,41.2M,http://www.coldjet.com
1158,COLORCON®,,Pennsylvania,1100,Pharmaceuticals,,500000000,colorcon.com
1160,COLORVISION INTERNATIONAL,,,190,Retail,,150000000,http://www.colorvisionint.com
1162,COLOURS,,,201-500,Motor Vehicle Manufacturing,,72300000,http://gocolours.com
1167,COLUMBIA GEAR CORPORATION,,,95,machinery,,74600000,columbiagear.com
1173,"COLUMBUS INDUSTRIES INC, FILTRATION GROUP",,,"501-1,000",Manufacturing,,350M,https://www.columbusindustries.com/
1179,COMBI PACKAGING SYSTEMS,,,51-200,Machinery Manufacturing,,36.4M,https://www.combi.com
1182,COMETIC GASKET,,,51-200,Motor Vehicle Manufacturing,,53.8M,http://www.cometic.com
1184,COMFORT RESEARCH,,,201-500,Furniture and Home Furnishings Manufacturing,,73000000,http://www.comfortresearch.com
1187,COMMERCE CONTROLS,,Michigan,200,Industrial Automation,,$25M,commercecontrols.com
1189,"COMMERCIAL TOOL GROUP: COMMERCIAL TOOL & DIE, INC., CG AUTOMATION & FIXTURE, INC., CG PLASTICS, INC.",,Michigan,130,Plastics Manufacturing,,33753000,commercialtoolgroup.com
1193,COMMUNITY TISSUE SERVICES,,,"501-1,000",Medical Equipment Manufacturing,,52.7M,http://www.communitytissue.org
1196,"COMPANY WRENCH, LTD.",,,51-200,Machinery Manufacturing,,$127.3M,http://companywrench.com/
1199,COMPASS HEALTH BRANDS,,,51-200,Medical Equipment Manufacturing,,40M,http://www.compasshealthbrands.com
1204,CON FORMS,,,76,"Glass, Ceramics and Concrete Manufacturing",,30465000,conforms.com
1211,CONCURRENT TECHNOLOGIES,,,"501-1,000",Defense & Space,,115M,http://www.ctc.com
1213,CONE DRIVE,,,201-500,Automation Machinery Manufacturing,,150M,http://www.conedrive.com
1217,CONESTOGA WOOD SPECIALTIES,,,"1,001-5,000",Wholesale Building Materials,,271.6M,http://www.conestogawood.com
1219,CONN SELMER,,Indiana,430,Mechanical Or Industrial Engineering,,298900000,connselmer.com
1223,CONNECT AMERICA,,,"501-1,000",Medical Equipment Manufacturing,,60M,http://www.connectamerica.com
1225,CONSOLIDATED CONSTRUCTION,,Wisconsin,120,Construction,,$26.6M,1call2build.com
1227,CONSOLIDATED PRECISION PRODUCTS,,,"1,001-5,000",Aviation and Aerospace Component Manufacturing,,150M,http://www.cppcorp.com
1233,CONSUMERS CONCRETE,,Michigan,52,Construction,,44500000,consumersconcrete.com
1235,CONTINENTAL OFFICE EST. 1939,,,201-500,Office Furniture and Fixtures Manufacturing,,$122.5M,http://www.continentaloffice.com
1237,CONTRACT INDUSTRIAL TOOLING (C-I-T),,Indiana,56,Packaging & Containers,,$582.0M,c-i-t.com
1239,COOPER-BOOTH WHOLESALE,,,201-500,Wholesale,,34.0M,http://www.cooperbooth.com
1241,COPPERWELD,,,150,electrical/electronic manufacturing,,82600000,http://www.copperweld.com
1248,CORE MOLDING TECHNOLOGIES,,,"1,001-5,000",Plastics Manufacturing,,325.2M,http://www.coremt.com
1250,CORK MEDICAL,,Indiana,71,medical devices,,25000000,corkmedical.com
1254,CORNWELL QUALITY TOOLS,,,201-500,Motor Vehicle Manufacturing,,218.7M,http://www.cornwelltools.com
1259,CORTEC CORPORATION,,,150,Chemical Manufacturing,,51000000,cortecvci.com
1261,CORVAC COMPOSITES,,,"501-1,000",Motor Vehicle Manufacturing,,150M,http://www.Corvaccomposites.com
1264,CORVAL GROUP,,Minnesota,210,Construction,,133800000,corvalgroup.com
1267,COUGHLIN AUTOMOTIVE,,,201-500,Motor Vehicle Manufacturing,,$50.5M,http://www.coughlincars.com
1269,COVERT MANUFACTURING,,,51-200,Motor Vehicle Manufacturing,,78.1M,http://www.covertmfg.com
1277,C-P FLEXIBLE PACKAGING,,,"1,001-5,000",Packaging and Containers Manufacturing,,50M,http://www.cpflexpack.com
1281,CQ MEDICAL,,Pennsylvania,76,medical devices,,25000000,cqmedical.com
1284,CRANE PUMPS & SYSTEMS,,,"501-1,000",Machinery Manufacturing,,201.7M,http://www.cranepumps.com
1286,CRARY INDUSTRIES,,North Dakota,87,machinery,,30900000,crary.com
1290,CRAYOLA,,,"1,001-5,000",Manufacturing,,450.2M,http://www.crayola.com
1293,CRC INDUSTRIES,,,201-500,Chemical Manufacturing,,75M,http://www.crcindustries.com
1299,CREATIVE FOAM,,,"1,001-5,000",Motor Vehicle Manufacturing,,65M,http://www.creativefoam.com
1301,CREATIVE PACKAGING COMPANY,,Kentucky,53,Packaging & Containers,,$25.4M,creativepackagingco.com
1305,CREE LIGHTING,,,"1,001-5,000","Appliances, Electrical, and Electronics Manufacturing",,56M,http://www.creelighting.com
1307,CREMER NORTH AMERICA,,,201-500,Chemical Manufacturing,,34.1M,http://www.petercremerna.com
1309,CRENLO ENGINEERED CABS,,Minnesota,490,machinery,,35000000,crenlo.com
1315,"CRESLINE PLASTIC PIPE CO., INC.",,Indiana,120,Plastics Manufacturing,,70000000,cresline.com
1317,CRETEX MEDICAL,,Minnesota,779,Medical Equipment Manufacturing,,99600000,cretexmedical.com
1321,CROWN BATTERY,,,"501-1,000",Motor Vehicle Manufacturing,,166.6M,http://www.crownbattery.com
1323,CROWN IRON WORKS,,,210,Industrial Machinery Manufacturing,,50000000,crowniron.com
1325,CROWN LABORATORIES,,,640,Retail,,300000000,http://www.crownlaboratories.com
1329,CSAFE,https://www.linkedin.com/company/csafeglobal,,112,Logistics and Supply Chain,,11200000,csafeglobal.com
1337,CUMMINS,,Indiana,48530,Motor Vehicle Manufacturing,,248000000,cummins.com
1341,CURT G. JOA INC.,,,201-500,Machinery Manufacturing,,30.3M,http://www.joa.com
1343,CURT GROUP,,,"1,001-5,000",Automotive,,247M,http://www.curtgroup.com
1345,CURVEBEAM AI,,Pennsylvania,67,medical devices,,25000000,curvebeamai.com
1352,"CUSTER, INC.",,,120,Furniture and Home Furnishings Manufacturing,,49100000,custerinc.com
1354,CUSTOM PRODUCTS,,,201-500,Packaging and Containers Manufacturing,,48M,http://www.customproducts.net
1363,DAKKOTA INTEGRATED SYSTEMS,,Michigan,3000,Automotive,,510500000,dakkota.com
1365,DAKOTA BODIES,,South Dakota,110,Motor Vehicle Manufacturing,,25000000,dakotabodies.com
1367,DAKOTA FLUID POWER,,South Dakota,120,machinery,,46000000,dakotafluidpower.com
1369,DAKTRONICS,,South Dakota,2300,Manufacturing,,115000000,daktronics.com
1373,DANT CLAYTON CORPORATION,,Kentucky,99,Construction,,$46.3M,dantclayton.com
1376,DARANA HYBRID,,,201-500,Automation Machinery Manufacturing,,104.6M,http://www.daranahybrid.com
1386,DAYGLO COLOR,,,201-500,Chemical Manufacturing,,92.7M,http://www.dayglo.com
1388,DAYTON PARTS DRIVEN BY DORMAN,,,"1,001-5,000",Motor Vehicle Manufacturing,,168000000,http://www.daytonparts.com
1391,DAYTON ROGERS MFG,,Minnesota,150,machinery,,60000000,daytonrogers.com
1393,DAYTON-PHOENIX,,,201-500,Railroad Equipment Manufacturing,,98.7M,http://www.dayton-phoenix.com
1395,DEARING COMPRESSOR & PUMP,,,51-200,Machinery Manufacturing,,41.1M,http://www.dearingcomp.com
1397,DECATUR PLASTIC PRODUCTS,,Indiana,68,Automotive,,86000000,decaturplastics.com
1399,DEDICATED COMPUTING,,,201-500,Computer Hardware Manufacturing,,140M,http://www.dedicatedcomputing.com
1401,DEE PACKAGING SOLUTIONS,,Pennsylvania,57,Packaging & Containers,,$35.0M,deepkg.com
1403,DEISTER MACHINE COMPANY,,Indiana,110,mining & metals,,$69.6M,deistermachine.com
1405,DEKKO,,Indiana,350,"Appliances, Electrical, and Electronics Manufacturing",,600000000,dekko.com
1407,DELALLO,,,201-500,Food and Beverage Manufacturing,,300M,http://www.delallo.com
1409,DELKOR SYSTEMS,,,213,Packaging & Containers,,222500000,delkorsystems.com
1411,DELPHINUS ENGINEERING,,,"501-1,000",Defense and Space Manufacturing,,131.2M,http://www.delphinus.com/
1413,DELTA,,,130,electrical/electronic manufacturing,,45793000,http://www.deltasystemsinc.com
1418,DELTA MODTECH,,Minnesota,140,machinery,,86600000,deltamodtech.com
1420,DELVAL EQUIPMENT,,Pennsylvania,120,machinery,,25000000,delval.com
1422,DEMMER,,,201-500,Defense and Space Manufacturing,,64.3M,http://www.demmercorp.com
1424,DENTAL HEALTH PRODUCTS,,Wisconsin,210,medical devices,,57500000,dhpsupply.com
1428,DENTALEZ,,,201-500,Medical Equipment Manufacturing,,75M,http://www.dentalez.com
1431,DEPATIE FLUID POWER,,Michigan,78,machinery,,54300000,depatie.com
1433,DERCO,,,201-500,Aviation & Aerospace,,34.4M,http://www.dercoaerospace.com
1441,DESTACO,,,"501-1,000",Automation Machinery Manufacturing,,300M,http://www.destaco.com
1444,DETROIT AXLE,,,201-500,Motor Vehicle Manufacturing,,70M,http://www.detroitaxle.com
1447,DETROIT FORMING,,Michigan,69,Packaging & Containers,,$65.6M,detroitforming.com
1449,DETROIT MANUFACTURING SYSTEMS,,,"1,001-5,000",Manufacturing,,355.3M,http://www.dmsna.com
1452,DETROIT THERMAL SYSTEMS,,,"501-1,000",Motor Vehicle Manufacturing,,70M,http://www.detroitthermalsystems.com
1456,DEWYS MANUFACTURING,,Michigan,120,machinery,,55900000,dewysmfg.com
1464,DEXTER,,Indiana,3800,Mechanical Or Industrial Engineering,,530000000,dextergroup.com
1466,DEZURIK,,,320,Industrial Machinery Manufacturing,,125000000,dezurik.com
1470,DIAMOND MANUFACTURING COMPANY,,Pennsylvania,110,mining & metals,,76200000,diamondman.com
1473,DIAMOND PHARMACY SERVICES,,Pennsylvania,260,Pharmaceutical Manufacturing,,391000000,diamondpharmacy.com
1477,DITEK,,,79,electrical/electronic manufacturing,,25000000,http://www.diteksurgeprotection.com
1479,DIVERSATEK HEALTHCARE,,Wisconsin,79,medical devices,,26900000,diversatekhealthcare.com
1483,"DIVERSIFIED AUTOMATION, INC.",,,150,Automation Machinery Manufacturing,,100000000,diversified-automation.com
1485,DIVERSIFIED CHEMICAL TECHNOLOGIES,,,201-500,Chemical Manufacturing,,67.9M,http://www.dchem.com
1491,DOMINION TECHNOLOGIES GROUP,,Michigan,140,Automotive,,37100000,dominiontec.com
1493,DONATELLE,,Minnesota,160,medical devices,,70000000,donatellemedical.com
1495,DONSCO,,,201-500,Mining,,70M,http://www.donsco.com
1499,DORNER MFG. CORP.,,,201-500,Industrial Automation,,90M,http://www.dornerconveyors.com
1501,DOROTHY LANE MARKET,,,310,Retail,,80859000,http://www.dorothylane.com
1503,DOUBLE H PLASTICS,,,201-500,Packaging and Containers Manufacturing,,39M,http://www.doublehplastics.com
1507,DOUGLAS MACHINE INC.,,,370,Industrial Machinery Manufacturing,,125000000,douglas-machine.com
1509,DOVER CHEMICAL,,,201-500,Chemical Manufacturing,,42.7M,http://www.doverchem.com
1511,DOWCO,,,201-500,Textile Manufacturing,,37M,http://www.dowco-inc.com
1513,DOWNLITE,,,160,textiles,,200000000,http://www.downlite.com
1524,DREAMLINE,,,201-500,Wholesale,,33.9M,http://www.DreamLine.com
1529,DRUCKER DIAGNOSTICS,,Pennsylvania,52,medical devices,,25000000,druckerdiagnostics.com
1537,DUPERON CORPORATION,,Michigan,62,machinery,,297000000,duperon.com
1541,DUPPS,,,201-500,Food and Beverage Manufacturing,,30.9M,http://www.dupps.com
1543,DURATECH INDUSTRIES,,,201-500,Printing Services,,45M,http://www.duratech.com
1545,DURAVENT,,,201-500,Industrial Machinery Manufacturing,,95829000,http://www.duraventgroup.com
1547,DUTY FREE AMERICAS,,,1100,Retail,,34789000,http://www.dutyfreeamericas.com
1549,DWYER INSTRUMENTS,,Indiana,340,Automation Machinery Manufacturing,,204499000,dwyer-inst.com
1551,DYNALAB,,,120,electrical/electronic manufacturing,,27000000,http://www.dynalabems.com
1553,"DYNALAB, INC.",,,201-500,"Appliances, Electrical, and Electronics Manufacturing",,$37.3M,http://www.dynalabems.com
1555,DYNAMIC TOOL CORPORATION,,Wisconsin,53,plastics,,$40.2M,dyntool.com
1559,DYSON,,,51-200,Industrial Machinery Manufacturing,,57.8M,http://www.dysoncorp.com
1561,E. SAM JONES LIGHTING & ENERGY SOLUTIONS,,,68,electrical/electronic manufacturing,,151000000,http://www.esamjones.com
1567,E.C. STYBERG ENGINEERING & MANUFACTURING,,Wisconsin,75,mining & metals,,$54.3M,styberg.com
1569,EAGLE,,,201-500,Automation Machinery Manufacturing,,31.0M,http://www.eagletechnologies.com
1571,EAGLE CRUSHER,,,51-200,Machinery Manufacturing,,31.7M,http://www.eaglecrusher.com
1573,EAGLE FAMILY FOODS,,,201-500,Manufacturing,,53.4M,https://eaglefoods.com
1576,EAGLE TECHNOLOGIES,,,201-500,Automation Machinery Manufacturing,,31.0M,http://www.eagletechnologies.com
