,Company,Company LinkedIn,Company Location (State),Employee Size,Industry,Phone,Revenue,Website
1763,"ESSENTIAL INDUSTRIES, INC",,,79,Chemical Manufacturing,,35000000,essind.com
1765,ESSEX BROWNELL,,Indiana,70,electrical/electronic manufacturing,,$119.2M,essexbrownell.com
1767,ESSEX FURUKAWA MAGNET WIRE,,,280,"Appliances, Electrical, and Electronics Manufacturing",,67600000,essexfurukawa.com
1769,"EVERBRITE, LLC",,,"501-1,000",Manufacturing,,130M,http://www.everbrite.com
1774,EVERIDGE,,Minnesota,160,Manufacturing,,75000000,everidge.com
1780,EXECUTIVE CLASS,https://www.linkedin.com/company/2964970,Florida,51,Transportation/Trucking/Railroad,,20000000,executiveclassrelo.com
1783,EXOTIC AUTOMATION & SUPPLY,,,200,Automation Machinery Manufacturing,,30000000,exoticautomation.com
1789,EXTANG CORPORATION,,Michigan,120,Automotive,,116000000,extang.com
1791,EXTREME ENGINEERING SOLUTIONS,,,201-500,Computer Hardware Manufacturing,,30M,https://www.xes-inc.com
1793,EXTRUDE HONE,,,201-500,Machinery Manufacturing,,70M,https://www.extrudehone.com
1801,FABCON,,Minnesota,850,Construction,,$156.5M,fabconprecast.com
1803,FABIANO BROTHERS,,,201-500,Wholesale,,63.5M,http://www.fabianobrothers.com
1805,FABRI-KAL,,,"1,001-5,000",Packaging and Containers Manufacturing,,303M,https://www.fabri-kal.com
1807,FAIRBANKS MORSE DEFENSE,,,"1,001-5,000",Machinery Manufacturing,,258M,http://www.FMDefense.com
1810,FANIMATION CEILING FANS,,Indiana,63,Manufacturing,,58500000,fanimation.com
1812,FANNIE MAY,,,"501-1,000",Consumer Goods,,100M,http://www.fanniemay.com
1818,FAS-PAK,,Indiana,60,Packaging & Containers,,$32.0M,fas-pak.com
1820,"FASTCO INDUSTRIES, INC.",,Michigan,72,mining & metals,,26700000,fastcoindustries.com
1822,FBI BUILDINGS,,Indiana,170,Construction,,$191.0M,fbibuildings.com
1828,FCX PERFORMANCE,,,"1,001-5,000",Industrial Machinery Manufacturing,,$317.5M,http://www.fcxperformance.com
1830,FECON,,,201-500,Machinery Manufacturing,,75M,http://www.fecon.com
1833,FEDCO - FLUID EQUIPMENT DEVELOPMENT COMPANY,,Michigan,69,Mechanical Or Industrial Engineering,,65000000,fedco-usa.com
1835,FEDERAL SCREW WORKS,,Michigan,80,Automotive,,59200000,federalscrewworks.com
1839,FEESER'S FOOD DISTRIBUTORS,,,201-500,Food and Beverage Services,,172.5M,http://www.feesers.com/
1841,FELLOWES,,,201-500,Furniture and Home Furnishings Manufacturing,,500M,https://www.fellowes.com
1845,FENNER PRECISION POLYMERS,,,140,Automation Machinery Manufacturing,,62900000,fennerppd.com
1847,FERADYNE OUTDOORS,,,201-500,Sporting Goods Manufacturing,,254M,http://feradyne.com
1852,FERNO,,,201-500,Medical Device,,53.9M,http://www.fernoems.com
1854,FESTOOL,,,51-200,Machinery Manufacturing,,46.5M,http://www.festoolusa.com
1856,FIELD AEROSPACE,,,201-500,Aviation and Aerospace Component Manufacturing,,75M,http://www.fieldaero.com
1868,"FINISHMASTER, INC.",,Indiana,830,Motor Vehicle Manufacturing,,390000000,finishmaster.com
1880,FIRSTRONIC,,,"501-1,000","Appliances, Electrical, and Electronics Manufacturing",,159M,http://www.firstronic.com
1882,FISHER BARTON,,,"501-1,000",Machinery Manufacturing,,62M,https://www.fisherbarton.com/
1884,FISHER DYNAMICS,,,"1,001-5,000",Motor Vehicle Manufacturing,,300M,http://www.fisherco.com/
1886,FISHER TANK COMPANY,,Pennsylvania,94,Construction,,$28.0M,fishertank.com
1890,"FIVES GIDDINGS & LEWIS, LLC",,,4448,machinery,,671400000,fivesgroup.com
1892,FIVES NORTH AMERICAN COMBUSTION,,,201-500,Industrial Machinery Manufacturing,,30.5M,http://combustion.fivesgroup.com/
1894,FLAMBEAU,,,"1,001-5,000",Plastics Manufacturing,,57M,http://www.flambeau.com
1896,FLANDERS,,Indiana,790,electrical/electronic manufacturing,,290400000,flandersinc.com
1898,FLEXFAB,,,"501-1,000",Industrial Machinery Manufacturing,,271.6M,http://www.flexfab.com
1900,FLEXICON,,,201-500,Industrial Machinery Manufacturing,,34M,http://www.flexicon.com
1904,FLIGHT SYSTEMS INDUSTRIAL PRODUCTS,,Pennsylvania,73,electrical/electronic manufacturing,,$33M,fsip.biz
1908,FLORACRAFT,,,201-500,Consumer Goods,,58.6M,http://www.floracraft.com
1910,FLORIDA PAINTS,,,51-200,Wholesale Building Materials,,47.7M,https://www.FloridaPaints.com
1914,FNA GROUP,,,"501-1,000",Manufacturing,,61.3M,http://www.fna-group.com
1917,FOAM DESIGN,,Kentucky,54,Packaging & Containers,,35000000,foamdesign.com
1924,FORD METER BOX,,Indiana,270,Construction,,119000000,fordmeterbox.com
1927,FORT RECOVERY INDUSTRIES,,,201-500,Motor Vehicle Manufacturing,,30M,http://www.fortrecoveryindustries.com
1930,FORT WAYNE METALS,,Indiana,650,Mechanical Or Industrial Engineering,,137500000,fwmetals.com
1936,FORTEC MEDICAL,,,201-500,Medical Equipment Manufacturing,,32.9M,https://www.fortecmedical.com
1943,FOSBEL,,,"501-1,000","Glass, Ceramics and Concrete Manufacturing",,318.3M,http://www.fosbel.com/
1945,FOSS NORTH AMERICA,,,1600,"Appliances, Electrical, and Electronics Manufacturing",,100000000,fossanalytics.com
1947,FOUNDATION WELLNESS,,,51-200,Manufacturing,,70M,https://www.foundationwellness.com/
1949,FRANKLIN INTERNATIONAL,,,201-500,Chemical Manufacturing,,60M,http://www.Franklininternational.com
1953,FREEMAN ENCLOSURE SYSTEMS,,,201-500,"Appliances, Electrical, and Electronics Manufacturing",,33.9M,http://freemanenclosures.com
1955,FREEMAN MANUFACTURING & SUPPLY,,,51-200,Plastics Manufacturing,,31.2M,http://www.freemansupply.com
1957,FREEPORT PRESS,,,51-200,Printing Services,,40.3M,http://www.freeportpress.com
1961,FROMM FAMILY FOODS,,Wisconsin,200,Mechanical Or Industrial Engineering,,37400000,frommfamily.com
1963,FRONTAGE LABORATORIES,,,"501-1,000",Pharmaceutical Manufacturing,,184.4M,http://www.frontagelab.com
1965,FS-ELLIOTT,,,201-500,Machinery Manufacturing,,193.8M,https://www.fs-elliott.com/
1971,FUTABA CORPORATION OF AMERICA,,,130,electrical/electronic manufacturing,,593600000,http://www.futabaems.com
1973,FXI,,,"1,001-5,000",Consumer Goods,,493.7M,http://www.fxi.com/
1975,G&H ORTHODONTICS®,,Indiana,85,medical devices,,40000000,ghorthodontics.com
1981,G&S METAL PRODUCTS,,,201-500,Manufacturing,,30.1M,http://www.gsmetal.com/
1986,G&T INDUSTRIES,,,120,Furniture and Home Furnishings Manufacturing,,40964000,gtindustries.com
1990,GAGE PRODUCTS COMPANY,,,97,Chemical Manufacturing,,65000000,gageproducts.com
1992,GALERIE CANDY AND GIFTS,,,51-200,Manufacturing,,33.7M,http://www.galeriecandy.com
1996,GARBER AUTOMOTIVE,,,"1,001-5,000",Motor Vehicle Manufacturing,,319.2M,https://www.garberauto.com
1998,GARDENS ALIVE,,,"1,001-5,000",Manufacturing,,170M,https://www.gardensalive.com
2001,GARDNER,,,160,Retail,,150000000,http://www.gardnerinc.com
2005,GARDNER WHITE,,,"501-1,000",Furniture and Home Furnishings Manufacturing,,275M,https://www.gardner-white.com
2009,GASBARRE,,,201-500,Machinery Manufacturing,,59M,http://www.gasbarre.com
2011,GATE PETROLEUM COMPANY,,,490,Retail,,140000000,http://www.gatepetro.com
2018,GED INTEGRATED SOLUTIONS,,,51-200,Machinery Manufacturing,,35M,http://www.gedusa.com
2020,GEHL FOOD,,,201-500,Food and Beverage Services,,43.1M,http://www.gehlfoods.com
2023,"GELEST, INC.",,,200,Chemical Manufacturing,,35000000,gelest.com
2025,GEMAIRE DISTRIBUTORS,,,"501-1,000",Wholesale,,385.2M,http://www.gemaire.com
2027,GEMINI GROUP,,,"1,001-5,000",Automotive,,30.7M,https://geminigroup.net
2029,GENERAL ALUMINUM,,,"1,001-5,000",Automotive,,31.8M,http://www.generalaluminum.com
2031,GENERAL DIE CASTERS,,,201-500,Machinery Manufacturing,,32.4M,http://www.generaldie.com/
2033,"GENERAL EQUIPMENT & SUPPLIES, INC.",,,108,machinery,,69300000,genequip.com
2036,GENERAL FASTENERS,,,201-500,"Transportation, Logistics, Supply Chain and Storage",,300M,http://www.genfast.com
2038,GENERAL STAMPING & METALWORKS,,Indiana,140,Automation Machinery Manufacturing,,67400000,gsmwinc.com
2040,GENERAL TOOL,,,201-500,Defense and Space Manufacturing,,36.8M,http://www.gentool.com
2042,GENESIS ATTACHMENTS,,Wisconsin,61,machinery,,53906000,genesisattachments.com
2046,GENTELL,,Pennsylvania,200,medical devices,,51200000,gentell.com
2049,GEO SPECIALTY CHEMICALS,,,"501-1,000",Chemical Manufacturing,,170.5M,http://www.geosc.com/
2052,GEORGE E. BOOTH CO.,,Indiana,100,machinery,,$25.0M,gebooth.com
2055,GEOTEK,,,145,machinery,,38005000,geotekinc.com
2059,GEROTECH,,Michigan,200,machinery,,44939000,gerotech.com
2061,GERTRUDE HAWK CHOCOLATES,,,"501-1,000",Food and Beverage Manufacturing,,294.4M,http://www.gertrudehawkchocolates.com/
2065,GETTLE,,,201-500,"Appliances, Electrical, and Electronics Manufacturing",,37.6M,http://www.gettle.com
2067,GHSP,,Michigan,789,Automotive,,600000000,ghsp.com
2072,GIBBS DIE CASTING,,,"1,001-5,000",Motor Vehicle Manufacturing,,215.9M,http://www.gibbsdc.com
2079,GLASSTECH,,,51-200,Machinery Manufacturing,,37.5M,http://www.glasstech.com/
2081,GLENN RIEDER,,Wisconsin,120,Construction,,27800000,glennrieder.com
2085,GLENROY,,,201-500,Packaging and Containers Manufacturing,,125M,https://www.glenroy.com
2087,GLOBAL TUNGSTEN & POWDERS,,,"501-1,000",Chemical Manufacturing,,150M,http://www.globaltungsten.com/
2093,GLUNT INDUSTRIES,,,51-200,Machinery Manufacturing,,31.2M,http://www.glunt.com
2095,GMI,,Minnesota,170,medical devices,,60700000,gmi-inc.com
2099,GMI COMPANIES,,,51-200,Furniture,,30M,http://www.ghent.com
2101,GOEX,,,201-500,Plastics Manufacturing,,52M,http://www.goex.com
2103,GOJO,,,"1,001-5,000",Manufacturing,,448.2M,http://www.GOJO.com
2108,GONZALEZ GROUP,,,"501-1,000",Automation Machinery Manufacturing,,50M,http://www.gonzalez-group.com
2110,GOOD FOODS,,,"501-1,000",Food & Beverages,,210M,http://www.goodfoods.com
2115,GOODWILL INDUSTRIES OF SOUTHEASTERN WISCONSIN,,,1800,Retail,,214103000,http://www.goodwillsew.com
2117,"GORDON ALUMINUM INDUSTRIES, INC.",,Wisconsin,85,mining & metals,,$30.2M,gordonaluminum.com
2119,GORILLA GLUE,,,"501-1,000",Manufacturing,,300M,http://www.gorillatough.com/careers
2121,GORUCK,,,69,Retail,,35000000,http://www.goruck.com
2123,GOSIGER,,,201-500,Machinery Manufacturing,,232.7M,http://www.gosiger.com
2125,GP REEVES,,Michigan,52,machinery,,32436000,gpreeves.com
2127,"GPM, INC.",,Minnesota,96,mining & metals,,$26M,gpmco.com
2129,GRACELAND FRUIT,,,201-500,Food and Beverage Services,,73M,http://www.gracelandfruit.com
2131,GRAFF,,Wisconsin,93,Mechanical Or Industrial Engineering,,32080000,graff-designs.com
2133,GRAFIKA PRINT,,Pennsylvania,80,Packaging & Containers,,$47M,grafikaprint.com
2136,GRAHAM ARCHITECTURAL PRODUCTS,,Pennsylvania,140,Construction,,108600000,grahamwindows.com
2139,GRAND DESIGN RV,,Indiana,290,Automotive,,461700000,granddesignrv.com
2142,GRAND RAPIDS CHAIR COMPANY,,,72,Furniture and Home Furnishings Manufacturing,,40677000,grandrapidschair.com
2144,GRANDE CHEESE COMPANY,,,"1,001-5,000",Food and Beverage Manufacturing,,110M,http://www.grande.com
2147,GRASSLAND DAIRY PRODUCTS,,,"501-1,000",Dairy Product Manufacturing,,35M,http://www.grassland.com
2149,GRAYMATTER,,,51-200,Automation Machinery Manufacturing,,36.1M,https://www.GrayMatterSystems.com
2151,GREAT BAY DISTRIBUTORS,,,201-500,Wholesale,,64.8M,http://www.greatbaybud.com
2153,GREAT NORTHERN CORPORATION,,,"1,001-5,000",Packaging & Containers,,32M,http://www.GreatNorthernCorp.com
2157,GREEN BAY PACKAGING,,,"1,001-5,000",Packaging and Containers Manufacturing,,120M,http://www.gbp.com
2159,GREEN BAY PACKAGING COATED PRODUCTS,,Wisconsin,53,Packaging & Containers,,$300M,gbpcoated.com
2162,GREEN CIRCLE GROWERS,,,"501-1,000",Manufacturing,,109.4M,http://www.greencirclegrowers.com
2164,GREEN TOKAI,,,"501-1,000",Motor Vehicle Manufacturing,,156.7M,http://www.greentokai.com
2166,GREENBRIDGE,,,201-500,Packaging and Containers Manufacturing,,300M,http://www.greenbridge.com
2168,GREENE TWEED,,,"1,001-5,000",Manufacturing,,400M,https://www.gtweed.com
2171,GREENLEAF CORPORATION,,,110,Industrial Machinery Manufacturing,,108400000,greenleafcorporation.com
2177,GROTE INDUSTRIES,,Indiana,1000,Automotive,,250000000,grote.com
2184,GT,,,"1,001-5,000",Motor Vehicle Manufacturing,,38520000,http://www.gttechnologies.com
2186,"GUHRING, INC.",,,201-500,Mechanical Or Industrial Engineering,,90M,http://www.guhring.com
2192,GURLEY LEEP AUTOMOTIVE FAMILY,,Indiana,210,Motor Vehicle Manufacturing,,40517000,gurleyleep.com
2194,"GUY & O'NEILL, INC.",,,51-200,Manufacturing,,86.6M,http://www.guyandoneill.com
2196,GUY BROWN,,,77,Business Supplies & Equipment,,205960000,http://www.guybrown.com
2198,H.H. BARNUM,,,201-500,Automation Machinery Manufacturing,,56M,https://www.hhbarnum.com
2200,H.H. BARNUM COMPANY,,,180,Automation Machinery Manufacturing,,56043000,hhbarnum.com
2202,"HA INDUSTRIES, INC.",,,58,Automation Machinery Manufacturing,,27980000,ha-industries.com
2204,HACKBARTH DELIVERY SERVICE,,,210,Transportation/Trucking/Railroad,,29167000,http://www.hackbarthdelivery.com
2206,HADCO METAL TRADING,,,201-500,Mining,,85.4M,http://www.hadco-metal.com
2208,HALCON FURNITURE,,,150,Furniture and Home Furnishings Manufacturing,,70000000,halconfurniture.com
2212,HAMPEL,,Wisconsin,78,plastics,,$90.0M,hampelcorp.com
2214,HANA,,,68,electrical/electronic manufacturing,,29297000,http://www.hana.family
2220,HANOVER FOODS,,,"1,001-5,000",Food Production,,61547000,https://www.hanoverfoods.com
2222,HARBISONWALKER INTERNATIONAL,,Pennsylvania,770,"glass, ceramics & concrete",,$600M,thinkhwi.com
2230,HARKEN INC.,,,201-500,Maritime Transportation,,41.8M,http://www.harken.com
2232,HARMONY BIOSCIENCES,,,201-500,Pharmaceutical Manufacturing,,437.9M,https://www.harmonybiosciences.com/
2234,HARRIS PRODUCTS,,,"501-1,000",Machinery Manufacturing,,345M,http://www.harrisproductsgroup.com
2236,HARRISON STEEL CASTINGS,,Indiana,140,mining & metals,,$34.5M,hscast.com
2240,HATCH STAMPING,,,"501-1,000",Motor Vehicle Manufacturing,,256.7M,http://www.hatchstamping.com
2244,HAVILAND ENTERPRISES,,,201-500,Chemical Manufacturing,,97.5M,http://www.havilandusa.com
2251,HAYES PERFORMANCE SYSTEMS,,,"501-1,000",Motor Vehicle Manufacturing,,70M,https://hayesperformance.com/
2257,HBD INDUSTRIES,,,"1,001-5,000",Mechanical Or Industrial Engineering,,137.5M,http://www.hbdindustries.com
2259,HDT,,,"501-1,000",Defense & Space,,210M,http://www.hdtglobal.com
2266,HEARTH & HOME TECHNOLOGIES,,Minnesota,890,Manufacturing,,40000000,hearthnhome.com
2270,HEARTLAND RV,,Indiana,540,Automotive,,200000000,heartlandrvs.com
2272,"HED, INC.",,,51-200,"Appliances, Electrical, and Electronics Manufacturing",,33.6M,http://www.HEDcontrols.com
2274,HEDSTROM PLASTICS,,,51-200,Manufacturing,,52.4M,http://www.hedstromplastics.com
2276,HEIDELBERG DISTRIBUTING,,,"1,001-5,000",Food & Beverages,,300M,http://www.heidelbergdistributing.com
2279,HEINEN'S GROCERY STORE,,,1200,Retail,,450000000,http://www.heinens.com
2281,HEISER AUTOMOTIVE GROUP,,,201-500,Motor Vehicle Manufacturing,,61.7M,http://www.heiser.com
2284,HELMER SCIENTIFIC,,Indiana,230,medical devices,,50000000,helmerinc.com
2290,HELWIG CARBON PRODUCTS,,,201-500,"Appliances, Electrical, and Electronics Manufacturing",,45.2M,http://www.helwigcarbon.com
2292,HEMLOCK SEMICONDUCTOR,,,"1,001-5,000",Chemical Manufacturing,,407M,http://www.hscpoly.com
2297,HENTZEN COATINGS,,,201-500,Chemical Manufacturing,,37.6M,http://www.hentzen.com
2301,HFI,,,"1,001-5,000",Motor Vehicle Manufacturing,,$468.1M,https://www.hfi-inc.com
2303,HGC INDUSTRIES,,Indiana,69,Manufacturing,,33000000,hgcindustries.com
2307,HILLSDALE FURNITURE,,,120,Furniture and Home Furnishings Manufacturing,,75000000,hillsdalefurniture.com
2309,HINO MOTORS MANUFACTURING USA,,Michigan,910,Automotive,,86600000,hmmusa.com
2311,HIROTEC AMERICA,,,201-500,Automotive,,35.4M,http://www.hirotecamerica.com
2313,HI-TECH MOLD & ENGINEERING,,,201-500,Automotive,,30.4M,http://www.hitechmold.com
2315,HOBART BROTHERS,,,"501-1,000",Industrial Machinery Manufacturing,,33.7M,http://www.hobartbrothers.com
2317,HOHMAN PLATING,,,51-200,Aviation and Aerospace Component Manufacturing,,128.7M,http://www.hohmanplating.com
2319,HOLLYWOOD FEED,,,440,Retail,,26000000,http://www.hollywoodfeed.com
2321,HOME APPLIANCE SALES & SERVICE,,,99,Retail,,87930000,http://www.yourhomeappliance.com
2323,HOME CITY ICE,,,"1,001-5,000",Manufacturing,,55M,http://www.homecityice.com
2325,HOMEDICS,,,201-500,Manufacturing,,436.2M,http://www.homedics.com/
2327,HOMETOWN PHARMACY,,,"501-1,000",Pharmaceutical Manufacturing,,98.5M,http://www.hometownpharmacyrx.com/
2334,HORIZONS,,,51-200,Defense & Space,,189.3M,http://horizons-inc.com/
2336,HORSBURGH & SCOTT,,,51-200,Machinery Manufacturing,,38.5M,http://www.horsburgh-scott.com
2338,HOSE MASTER,,,201-500,Industrial Machinery Manufacturing,,135.8M,https://www.hosemaster.com
2344,HOUSE OF FLAVORS,,,201-500,Food and Beverage Manufacturing,,31397000,http://www.houseofflavors.com
2347,HOVERTECH INTERNATIONAL,,Pennsylvania,66,medical devices,,100000000,hovermatt.com
2350,HOWARD MILLERÂ® & HEKMANÂ® FURNISHINGS,,,94,Furniture and Home Furnishings Manufacturing,,75000000,howardmiller.com
2352,HOWARD TERNES PACKAGING CO,,Michigan,130,Packaging & Containers,,$25.0M,ternespkg.com
2354,"HR PHARMACEUTICALS, INC",,Pennsylvania,110,medical devices,,25000000,hrpharma.com
2359,HRI,,Pennsylvania,230,Construction,,445600000,hriinc.com
2362,HRST,,Minnesota,67,Mechanical Or Industrial Engineering,,33500000,hrstinc.com
2366,HUGHES-PETERS,,,88,electrical/electronic manufacturing,,40396000,http://www.hughespeters.com
2368,HUI MANUFACTURING,,Wisconsin,230,machinery,,43000000,huimfg.com
2370,HUMANETICS,,,"501-1,000",Motor Vehicle Manufacturing,,30M,https://www.humaneticsgroup.com
2372,HUMPHREY PRODUCTS,,,201-500,"Appliances, Electrical, and Electronics Manufacturing",,57.2M,http://www.humphrey-products.com
2374,"HURCO COMPANIES, INC.",,Indiana,250,Machinery Manufacturing,,250810000,hurco.com
2376,HUSCO,,,"1,001-5,000",Industrial Machinery Manufacturing,,451M,http://www.husco.com
2379,HUTCHINSON TECHNOLOGY INC.,,Minnesota,920,"Appliances, Electrical, and Electronics Manufacturing",,234649000,htch.com
2381,HVAC DISTRIBUTORS,,,51-200,Wholesale,,48M,http://www.hvacdist.com
2383,HYDRAFORCE,,,"1,001-5,000",Industrial Machinery Manufacturing,,220.0M,http://www.hydraforce.com
2386,HY-KO PRODUCTS,,,51-200,Manufacturing,,35M,https://www.hy-ko.com/
2388,HYPERION MATERIALS & TECHNOLOGIES,,,"1,001-5,000",Industrial Machinery Manufacturing,,389.4M,http://www.HyperionMT.com
2391,HYPRO INC.,,Wisconsin,230,machinery,,75000000,hypro.com
2395,IBCC INDUSTRIES,,,"501-1,000",Industrial Machinery Manufacturing,,76.2M,http://www.ibccind.com/
2397,"IBCC INDUSTRIES, INC.",,,"501-1,000",Industrial Machinery Manufacturing,,76.2M,http://www.ibccind.com/
2399,ICE HOUSE AMERICA,,,52,Retail,,30200000,http://www.icehouseamerica.com
2401,ICE INDUSTRIES,,,"501-1,000",Manufacturing,,130.9M,http://www.iceindustries.com
2403,ID IMAGES,,,201-500,Printing Services,,41.8M,http://www.idimages.com
2407,IDEAL AEROSMITH INC.,,North Dakota,91,electrical/electronic manufacturing,,$25.0M,ideal-aerosmith.com
2410,IDEAL ELECTRIC COMPANY,,,100,electrical/electronic manufacturing,,75000000,http://www.theidealelectric.com
2412,IDESIGN,,,201-500,Manufacturing,,215M,https://www.idesignlivesimply.com/
2414,IDI COMPOSITES INTERNATIONAL,,Indiana,160,plastics,,328700000,idicomposites.com
2416,IDI DISTRIBUTORS,,,201-500,Wholesale Building Materials,,88.5M,https://www.idi-insulation.com
2418,IDX CORPORATION,,Michigan,540,Mechanical Or Industrial Engineering,,365000000,idxcorporation.com
2420,IGPS LOGISTICS,,,140,logistics & supply chain,,100000000,http://www.igps.net
2425,IKIO LED LIGHTING,,Indiana,120,electrical/electronic manufacturing,,27900000,ikioledlighting.com
2427,ILLING PACKAGING,,,51-200,Packaging and Containers Manufacturing,,46.4M,https://www.illingcompany.com/
2430,"ILPEA INDUSTRIES, INC.",,Indiana,260,Plastics Manufacturing,,40084000,ilpeaindustries.com
2432,ILSCO,,,260,electrical/electronic manufacturing,,250000000,http://www.ilsco.com
2438,IMI PBM,,Pennsylvania,150,Mechanical Or Industrial Engineering,,356000000,pbmvalve.com
2440,IMMI,,Indiana,750,Automotive,,533000000,imminet.com
2442,IMPERIAL BEVERAGE,,,201-500,Wine & Spirits,,33673000,http://imperialbeverage.com/
2444,IMPERIAL CLINICAL RESEARCH SERVICES,,Michigan,90,Pharmaceutical Manufacturing,,55000000,imperialcrs.com
2446,INCERTEC,,Minnesota,77,machinery,,$25.0M,incertec.com
2449,INDELCO PLASTICS CORPORATION,,Minnesota,79,plastics,,$47.0M,indelco.com
2451,INDEPENDENT PHARMACY COOPERATIVE,,,51-200,Pharmaceutical Manufacturing,,30.8M,http://www.ipcrx.com
2454,INDEPENDENT PHARMACY COOPERATIVE (IPC),,,51-200,Pharmaceutical Manufacturing,,30.8M,http://www.ipcrx.com
2457,INDIANA CARTON COMPANY,,Indiana,52,Packaging & Containers,,$33.4M,indianacarton.com
2460,INDIANA TUBE CORPORATION,,Indiana,59,mining & metals,,31300000,indianatube.com
2462,"INDUSTRIAL MAGNETICS, INC.",,Michigan,66,machinery,,29100000,magnetics.com
2464,INDUSTRIAL SCIENTIFIC,,,680,electrical/electronic manufacturing,,182000000,http://www.indsci.com
2466,INFINITY MACHINE AND ENGINEERING,,Wisconsin,76,machinery,,51324000,infinitymec.com
2472,INFUSYSTEM,,,201-500,Medical Equipment Manufacturing,,107.6M,http://www.infusystem.com
2474,INLAND,,,201-500,Packaging and Containers Manufacturing,,31.2M,http://www.inlandpackaging.com
2477,INNOTEC,,,201-500,Motor Vehicle Manufacturing,,69000000,http://www.innotecgroup.com
2479,INNOVATIVE SOLUTIONS & SUPPORT,,,110,Aviation & Aerospace,,29079000,innovative-ss.com
2481,INNOVIZE,,Minnesota,140,medical devices,,37400000,innovize.com
2484,INOAC USA,,,"1,001-5,000",Plastics Manufacturing,,300M,http://www.inoacusa.com
2486,INOLEX,,,51-200,Personal Care Product Manufacturing,,500M,http://www.inolex.com
2489,"INOVISION, INC.",,Michigan,69,Automation Machinery Manufacturing,,27200000,inovision.com
2491,INPRO,,,"501-1,000",Wholesale Building Materials,,146.1M,https://www.inprocorp.com
2493,INSOLVES,,,83,electrical/electronic manufacturing,,25000000,http://www.insolves.com
2495,INSPIRE MEDICAL SYSTEMS,,Minnesota,990,medical devices,,570190000,inspiresleep.com
2503,INTEGRATED PACKAGING MACHINERY,,,51-200,Automation Machinery Manufacturing,,43.2M,http://www.callipm.com
2508,INTERCOMP COMPANY,,,66,"Appliances, Electrical, and Electronics Manufacturing",,25700000,intercompcompany.com
2510,INTEREUM,,,180,Furniture and Home Furnishings Manufacturing,,61700000,intereum.com
2514,INTERKAL,,Michigan,62,Construction,,27800000,interkal.com
2517,INTERMATIC,,,"501-1,000","Appliances, Electrical, and Electronics Manufacturing",,300M,http://www.Intermatic.com
2519,INTERNATIONAL AUTOS GROUP,,,201-500,Motor Vehicle Manufacturing,,40M,http://www.iaautogroup.com
2522,INTERNATIONAL DIAMOND CENTER,,,100,Retail,,36056000,http://www.shopidc.com
2524,INTERNATIONAL THERMAL SYSTEMS,,,51-200,Machinery Manufacturing,,43.5M,http://www.internationalthermalsystems.com
2527,INTERPLASTIC,,,201-500,Chemical Manufacturing,,30.4M,http://www.interplastic.com
2529,INTERPLASTIC CORPORATION,,,340,Chemical Manufacturing,,150000000,interplastic.com
2531,INTERVALA,,,201-500,"Appliances, Electrical, and Electronics Manufacturing",,59.3M,http://www.intervala.com
2533,INTRICON CORPORATION,,Minnesota,250,medical devices,,139990000,intricon.com
2539,INVOTEC,,,51-200,Automation Machinery Manufacturing,,42.2M,https://www.invotec.com
2543,IRISO USA,,Michigan,58,electrical/electronic manufacturing,,324800000,irisoconnectors.com
2545,IROQUOIS INDUSTRIES,,Michigan,180,Automotive,,249500000,iroquoisind.com
2548,IRWIN SEATING,,,201-500,Furniture and Home Furnishings Manufacturing,,155M,http://www.irwinseating.com
2550,ITAMCO,,Indiana,89,mining & metals,,30800000,itamco.com
2553,ITC INCORPORATED,,Michigan,170,electrical/electronic manufacturing,,$133M,itc-us.com
2555,ITW EAE,,Minnesota,250,electrical/electronic manufacturing,,66700000,itweae.com
2557,ITW FOOD EQUIPMENT GROUP,,,290,electrical/electronic manufacturing,,266600000,http://www.itwfoodequipment.com
2559,IVI INC.,,Wisconsin,59,machinery,,$28.9M,ivinc.com
2567,J.W. SPEAKER CORPORATION,,,201-500,"Appliances, Electrical, and Electronics Manufacturing",,100.4M,http://www.jwspeaker.com/
2569,JAC PRODUCTS,,,"1,001-5,000",Motor Vehicle Manufacturing,,32.4M,http://www.jacproducts.com
2572,JACK LINK'S PROTEIN SNACKS,,,"1,001-5,000",Manufacturing,,62.6M,http://www.jacklinks.com
2574,JAECKLE DISTRIBUTORS,,,51-200,Wholesale,,64M,http://www.jaeckledistributors.com
2578,JARRETT,,,170,logistics & supply chain,,119400000,http://www.gojarrett.com
2581,JAYCO,,Indiana,890,Automotive,,507300000,jaycofamily.com
2585,JBC TECHNOLOGIES,,,51-200,Manufacturing,,54.3M,http://www.jbc-tech.com
2587,JBM PACKAGING,,,51-200,Packaging and Containers Manufacturing,,35.3M,http://www.jbmpackaging.com
2589,JEDCO,,,201-500,Aviation and Aerospace Component Manufacturing,,31.2M,http://jedinc.com
2592,JEFFERS,,,86,Retail,,29944000,http://www.jefferspet.com
2597,JEGS PERFORMANCE,,,210,Retail,,100000000,http://www.jegs.com
2599,JEM TECHNICAL,,Minnesota,79,machinery,,$25.0M,jemtechnical.com
2601,JENI'S SPLENDID ICE CREAMS,,,"1,001-5,000",Food and Beverage Manufacturing,,95.7M,http://jenis.com
2603,JENNMAR,,Pennsylvania,4000,mining & metals,,$204M,jennmar.com
2610,JET EDGE INTERNATIONAL,,,201-500,Aviation and Aerospace Component Manufacturing,,100M,https://www.flyjetedge.com/
